# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:42:47.796753+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": true, "threads": 6, "topologies": ["er", "ba", "ws", "rr"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,dt,level,mean_Y,seed,topology,traffic
300.0,2.416558645438687e-06,0.1,2,0.007284630251043601,2,ba,mmpp2
600.0,1.0415936868935265e-06,0.05,3,0.005072043856206129,2,ba,mmpp2
50.0,0.0014805897136034958,0.4,0,0.8849755169181361,0,ba,pareto
150.0,7.447012277468086e-06,0.2,1,0.017770125372064648,0,ba,pareto
300.0,3.225412112671773e-06,0.1,2,0.011106686104107654,0,ba,pareto
600.0,1.1782139812545825e-06,0.05,3,0.00545484337652594,0,ba,pareto
50.0,0.0015355478754300496,0.4,0,0.884809947113905,1,ba,pareto
150.0,8.96396078775413e-06,0.2,1,0.026559708960311765,1,ba,pareto
300.0,2.7111492909214876e-06,0.1,2,0.007568671329171906,1,ba,pareto
600.0,1.0550079581168005e-06,0.05,3,0.005323965666524271,1,ba,pareto
50.0,0.0016584316141715395,0.4,0,0.9364050133882513,2,ba,pareto
150.0,7.006884910412262e-06,0.2,1,0.02017240618279753,2,ba,pareto
300.0,2.5577178006605865e-06,0.1,2,0.007196343730919304,2,ba,pareto
600.0,1.0417327942239327e-06,0.05,3,0.005050605610309052,2,ba,pareto
50.0,0.0013729634345085008,0.4,0,0.8878339784021363,0,ba,degree
150.0,7.948057604229876e-06,0.2,1,0.0069062411638181834,0,ba,degree
300.0,2.7259508901389174e-06,0.1,2,0.0076511550464142325,0,ba,degree
600.0,1.067113348252955e-06,0.05,3,0.005409420559538667,0,ba,degree
50.0,0.0014159725834225786,0.4,0,0.9040013823481209,1,ba,degree
150.0,8.427549438098194e-06,0.2,1,-0.002108704801749345,1,ba,degree
300.0,2.8658917119933334e-06,0.1,2,0.009175310441001054,1,ba,degree
600.0,1.020071165829208e-06,0.05,3,0.0051780806599977455,1,ba,degree
50.0,0.0014425864087489,0.4,0,0.9312339432708614,2,ba,degree
150.0,7.190239288752474e-06,0.2,1,0.013147145374335123,2,ba,degree
300.0,2.243436797612506e-06,0.1,2,0.00699159856445047,2,ba,degree
600.0,9.827109372628753e-07,0.05,3,0.0048994476876424034,2,ba,degree
50.0,0.001023352716691942,0.4,0,0.8140733533507702,0,ws,uniform
150.0,5.828411225119748e-06,0.2,1,0.008988682876155046,0,ws,uniform
300.0,2.205965293836612e-06,0.1,2,0.006187804533545737,0,ws,uniform
600.0,9.12952726778647e-07,0.05,3,0.00446568090707966,0,ws,uniform
50.0,0.001086375216307067,0.4,0,0.8261876652321347,1,ws,uniform
150.0,6.168631955731026e-06,0.2,1,0.008884411600842758,1,ws,uniform
300.0,2.206500858061078e-06,0.1,2,0.006086381604744421,1,ws,uniform
600.0,8.739392091044306e-07,0.05,3,0.004394538304607734,1,ws,uniform
50.0,0.0011130267929097561,0.4,0,0.8497450792355239,2,ws,uniform
150.0,5.696442032187469e-06,0.2,1,0.00850513156451429,2,ws,uniform
300.0,1.9427004670653276e-06,0.1,2,0.0058787837174597785,2,ws,uniform
600.0,8.947514220870395e-07,0.05,3,0.004235456553481234,2,ws,uniform
50.0,0.0014562533815093619,0.4,0,0.8951682572408269,0,ws,mmpp2
150.0,9.867488517915743e-06,0.2,1,0.01688469206762475,0,ws,mmpp2
300.0,2.5881369889367966e-06,0.1,2,0.007644965631898019,0,ws,mmpp2
600.0,1.0605366986722606e-06,0.05,3,0.00538760319979418,0,ws,mmpp2
50.0,0.0015684325183601682,0.4,0,0.9152100985757731,1,ws,mmpp2
150.0,8.698411971802445e-06,0.2,1,0.01298590792758057,1,ws,mmpp2
300.0,2.4252769807991928e-06,0.1,2,0.007612492085434682,1,ws,mmpp2
600.0,9.70239593508803e-07,0.05,3,0.005355460329186483,1,ws,mmpp2
50.0,0.0015799123358679033,0.4,0,0.9364974361398233,2,ws,mmpp2
150.0,8.614597464587931e-06,0.2,1,0.0132001312579424,2,ws,mmpp2
300.0,2.393133538382335e-06,0.1,2,0.007430610251625465,2,ws,mmpp2
600.0,1.0362559939306722e-06,0.05,3,0.005187372436603402,2,ws,mmpp2
50.0,0.0013965756987400317,0.4,0,0.8842841397990223,0,ws,pareto
150.0,6.9204265412093004e-06,0.2,1,0.01704480589107248,0,ws,pareto
300.0,3.0756323755744654e-06,0.1,2,0.010915192581204408,0,ws,pareto
600.0,1.0963900261967736e-06,0.05,3,0.005349662609444452,0,ws,pareto
50.0,0.0015047453235437162,0.4,0,0.890125420167885,1,ws,pareto
150.0,8.756405333376083e-06,0.2,1,0.026188638351937493,1,ws,pareto
300.0,2.6472255826264568e-06,0.1,2,0.007539591409018422,1,ws,pareto
600.0,1.0143682809476601e-06,0.05,3,0.005303025296906675,1,ws,pareto
50.0,0.001558452592591125,0.4,0,0.9250850889396192,2,ws,pareto
150.0,6.905910251520157e-06,0.2,1,0.019219192763159632,2,ws,pareto
300.0,2.522971142058473e-06,0.1,2,0.00736573579919147,2,ws,pareto
600.0,1.0363920074330342e-06,0.05,3,0.0051777216943837846,2,ws,pareto
50.0,0.0010292494501343602,0.4,0,0.8161070688205775,0,ws,degree
150.0,5.842292191540288e-06,0.2,1,0.00904628609751475,0,ws,degree
300.0,2.204965196398913e-06,0.1,2,0.006215082866509594,0,ws,degree
600.0,9.250335701762613e-07,0.05,3,0.004482387407208904,0,ws,degree
50.0,0.0011020906430531257,0.4,0,0.8285925025880738,1,ws,degree
150.0,6.181135600427148e-06,0.2,1,0.008988843323986103,1,ws,degree
300.0,2.212785406504328e-06,0.1,2,0.006127007562755654,1,ws,degree
600.0,8.804442729786522e-07,0.05,3,0.00441908977114735,1,ws,degree
50.0,0.001123098627570494,0.4,0,0.8523218890562184,2,ws,degree
150.0,5.806914771549719e-06,0.2,1,0.008609978348985142,2,ws,degree
300.0,1.9560059816928573e-06,0.1,2,0.005912022025567065,2,ws,degree
600.0,8.906032557681078e-07,0.05,3,0.004257680490605917,2,ws,degree
50.0,0.0010202096641925235,0.4,0,0.8125163282336776,0,rr,uniform
150.0,5.843218452365658e-06,0.2,1,0.008973727855779604,0,rr,uniform
300.0,2.196795403292522e-06,0.1,2,0.006197509455863358,0,rr,uniform
600.0,9.176631062091782e-07,0.05,3,0.004471458675217024,0,rr,uniform
50.0,0.0010885007094832962,0.4,0,0.8263411748366976,1,rr,uniform
150.0,6.11486176203013e-06,0.2,1,0.00884615595390763,1,rr,uniform
300.0,2.2013348660738105e-06,0.1,2,0.006064176382834596,1,rr,uniform
600.0,8.822418730158046e-07,0.05,3,0.004382548617377053,1,rr,uniform
50.0,0.0011155415576172179,0.4,0,0.8518202633083488,2,rr,uniform
