des_mean,des_var,des_wall_s,diverges_wildly,n_nodes,n_reps,rel_diff_mean_pct,rho,sde_mean,sde_var,sde_wall_s,seed,topology,topology_note,variance_ratio_sde_over_des,welch_z_stat
0.36254609375,0.0005778919788149728,3.2763084590042126,True,200,200,3.3257858435641454,0.3,0.3746036004123323,5.384343579840702e-05,1.534818541003915,0,er,,0.09317214595852073,-6.78429769475455
0.36273171874999993,0.00043843259537433267,3.3743206670042127,True,200,200,3.215845747460661,0.3,0.37439661130211277,6.711000617462273e-05,1.5382919579933514,1,er,,0.15306801292299987,-7.3369719899773385
0.36368328125,0.0005361415934899105,3.283369583004969,True,200,200,2.946294656732614,0.3,0.3743984623328986,5.926643599480389e-05,1.531933874997776,2,er,,0.11054250726756795,-6.210222625515266
0.48131796875000005,0.0008566491386375237,4.395723083005578,True,200,200,3.7830918848630444,0.4,0.49952666976616894,5.3908259662592656e-05,1.4808263329978217,0,er,,0.0629292171452273,-8.533757529979646
0.48463343749999993,0.0007681984994307474,4.355890250000812,True,200,200,3.0319608136877476,0.4,0.49932733341502783,6.714740802951289e-05,1.476995375000115,1,er,,0.0874089289152096,-7.189832658022191
0.485015,0.0007894750408291447,4.35111550000147,True,200,200,2.9499801464753737,0.4,0.4993228462074275,5.926309575361827e-05,1.4922155420063064,2,er,,0.0750664589616124,-6.945482201597971
0.6004621875,0.0009282695566700702,5.449492958003248,True,200,200,3.9997405551003435,0.5,0.6244791171314802,5.3907933404231834e-05,1.4973272919960436,0,er,,0.05807357681492084,-10.83770923522714
0.6039975,0.001128604863771985,5.426604207998025,True,200,200,3.3580088869653046,0.5,0.6242797897270482,6.71475448083132e-05,1.4860882089997176,1,er,,0.059496061875805625,-8.294903689246391
0.6089078125,0.001061988072687656,5.427011084000696,True,200,200,2.523781846314292,0.5,0.6242753173326645,5.9262459875918057e-05,1.47587679100252,2,er,,0.05580331964175259,-6.4903336767217805
0.7236365624999999,0.0010116816142234615,6.435120041001937,True,200,200,3.564755730871395,0.6,0.7494324383323994,5.3907759506856533e-05,1.4779586250006105,0,er,,0.053285301174752116,-11.175586777204277
0.727798125,0.00116004614714196,6.46696420799708,True,200,200,2.9451849967732433,0.6,0.7492331261842969,6.714754828277423e-05,1.4816994159991737,1,er,,0.05788351476207014,-8.653303815044568
0.7248750000000002,0.0012159684751884424,6.414292292000027,True,200,200,3.3597049252959192,0.6,0.749228661077239,5.9262298216514514e-05,1.480435874997056,2,er,,0.0487367061118344,-9.644614279178155
0.84247375,0.0014307659433888187,7.512885208001535,True,200,200,3.7879424292494814,0.7,0.8743861706315392,5.390764822699551e-05,1.495054541999707,0,er,,0.03767747511470211,-11.712760248593593
0.8491121875000001,0.0013881029678666766,7.541400333997444,True,200,200,2.9530467725490497,0.7,0.8741868675482894,6.714763728639531e-05,1.4863257079996401,1,er,,0.04837367172378574,-9.295687251989268
0.847605625,0.0013901202257380662,7.575943707997794,True,200,200,3.135513968728017,0.7,0.8741824177715994,5.926249566895839e-05,1.4806262080019224,2,er,,0.04263120165559331,-9.872474668969343
0.95936125,0.0014989124886149502,8.837073374997999,True,200,200,4.167240913945989,0.8,0.9993401445225437,5.390763831663774e-05,1.5459647909956402,0,er,,0.03596450007995487,-14.347796328651786
0.9741726562499999,0.0015597158147917342,8.914265749997867,True,200,200,2.5630140997651947,0.8,0.9991408387857446,6.714759656585249e-05,1.5330167920037638,1,er,,0.043051173764509516,-8.7543999268666
0.9713651562499999,0.0014468764680580619,8.84082212499925,True,200,200,2.8589911389714033,0.8,0.9991363999942431,5.926254254969238e-05,1.5315824170029373,2,er,,0.040958951132318934,-10.119936778062534
1.0871295312499998,0.001727175853854232,9.66852004199609,True,200,200,3.418611831291814,0.9,1.1242942700267795,5.39076122226805e-05,1.4835414999979548,0,er,,0.031211420714563863,-12.453859056076473
1.0938684375,0.00179965913149733,9.676912208997237,True,200,200,2.7632683439756756,0.9,1.124094957758179,6.71475360663365e-05,1.4928575830053887,1,er,,0.03731125238726138,-9.89358021519398
1.09021171875,0.0016758949183171743,9.646630707997247,True,200,200,3.1075438275362037,0.9,1.124090525723092,5.926250856498963e-05,1.495634250000876,2,er,,0.035361709088835486,-11.502007979255476
1.14219015625,0.0016646783112584391,10.147453457997472,True,200,200,3.903134226712575,0.95,1.1867713711727357,5.390758649520062e-05,1.4802290410007117,0,er,,0.0323831854662949,-15.208321176919663
1.1535810937500002,0.0019296165210574325,10.277496667004016,True,200,200,2.8598736335093555,0.95,1.1865720552913053,6.714750414177467e-05,1.4824602500011679,1,er,,0.03479836714135187,-10.44110827724087
1.15056359375,0.0016810620914877122,10.168193165998673,True,200,200,3.1292518733440975,0.95,1.186567626561437,5.9262491146794394e-05,1.524429416997009,2,er,,0.03525300549389467,-12.205371963699953
