# git_sha=116cdad5795775cff210d379367c29d1a476413c-dirty
# timestamp_utc=2026-07-24T08:03:45.363758+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"T": 20.0, "alpha": 0.1, "arms": ["mc", "antithetic", "cv", "qmc"], "base_dt": 0.05, "beta": 0.5, "budgets": [128, 256, 512, 1024, 2048], "cv_pilot": 512, "estimand": "terminal mean_i C_i(T)", "lam": 0.3, "n_nodes": 200, "n_steps": 400, "p_er": 0.05025125628140704, "quick": false, "ref_samples": 20000, "rel_eps": [0.02, 0.01, 0.005], "reps": 40, "seed": 0, "sigmas": [0.1, 0.433], "topology": "er"}
# work columns re-derived from stored measurements; no re-simulation
N_eps_0.0005,N_eps_0.001,N_eps_0.002,N_eps_0.005,N_eps_0.01,N_eps_0.02,W_eps_0.0005,W_eps_0.001,W_eps_0.002,W_eps_0.005,W_eps_0.01,W_eps_0.02,bias_vs_ref,clamp_frac,const,cv_coef,cv_corr,elapsed_s,floored_eps_0.0005,floored_eps_0.001,floored_eps_0.002,floored_eps_0.005,floored_eps_0.01,floored_eps_0.02,mean_estimate,method,n_floor,n_var_samples,paths_per_sample,qmc_dim_fraction,rate,rate_ci_lower,rate_ci_upper,rate_points,rate_r2,ref_mean,ref_stderr,rel_rmse_one_sample,sample_unit,sigma,work_ratio_vs_mc_eps_0.0005,work_ratio_vs_mc_eps_0.001,work_ratio_vs_mc_eps_0.002,work_ratio_vs_mc_eps_0.005,work_ratio_vs_mc_eps_0.01,work_ratio_vs_mc_eps_0.02
444.9060303187369,111.22650757968422,27.806626894921056,4.44906030318737,1.1122650757968424,1.0,177962.41212749475,44490.60303187369,11122.650757968422,1779.6241212749478,444.90603031873695,400.0,7.670821580929577e-06,0.001385725,6.251978353668492e-05,,,22.13505721092224,False,False,False,False,False,True,0.7497371410822793,mc,1.0,20000,1.0,,-1.0,,,,,0.7497294702606984,2.4112332777154155e-09,0.010546397848539767,path,0.1,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,800.0,800.0,800.0,800.0,800.0,800.0,5.1036822545924565e-09,0.0013878875,5.780209125260583e-14,,,27.586157083511353,True,True,True,True,True,True,0.7497294753643806,antithetic,1.0,10000,2.0,,-1.0,,,,,0.7497294702606984,2.4112332777154155e-09,3.2067654311700256e-07,antithetic pair,0.1,222.45301515936845,55.61325378984211,13.903313447460528,2.224530151593685,0.5561325378984212,0.5
1.0,1.0,1.0,1.0,1.0,1.0,800.0,800.0,800.0,800.0,800.0,800.0,-3.841645890290124e-10,0.0013886625,1.5064409567080965e-13,1.0000010957654792,0.9999999988062186,32.43550682067871,True,True,True,True,True,True,0.7497294698765338,cv,1.0,20000,2.0,,-1.0,,,,,0.7497294702606984,2.4112332777154155e-09,5.176920252283156e-07,path (+ linear companion),0.1,222.45301515936845,55.61325378984211,13.903313447460528,2.224530151593685,0.5561325378984212,0.5
128.0,128.0,128.0,128.0,128.0,128.0,51200.0,51200.0,51200.0,51200.0,51200.0,51200.0,-2.2006377264904842e-07,0.001405859375,5.663242634040289e-07,,,573.0949618816376,True,True,True,True,True,True,0.7497292501969257,qmc,128.0,40,1.0,0.265,-1.2583571692184456,-1.45776254665694,-1.0490689558782136,5,0.991563464230612,0.7497294702606984,2.4112332777154155e-09,nan,Sobol point,0.1,3.475828361865132,0.868957090466283,0.21723927261657075,0.034758283618651326,0.008689570904662831,0.0078125
6173.699213071098,1543.4248032677745,385.8562008169436,61.73699213071097,15.434248032677743,3.858562008169436,2469479.685228439,617369.9213071098,154342.48032677744,24694.796852284388,6173.699213071097,1543.4248032677742,-1.3826800847716036e-05,0.02143206875,0.0009567776859919643,,,20.278801918029785,False,False,False,False,False,False,0.7873270172486667,mc,1.0,20000,1.0,,-1.0,,,,,0.7873408440495144,3.956176430149949e-05,0.039286445541277644,path,0.433,1.0,1.0,1.0,1.0,1.0,1.0
101.79663120701451,25.44915780175363,6.362289450438407,1.017966312070145,1.0,1.0,81437.3049656116,20359.3262414029,5089.831560350725,814.373049656116,800.0,800.0,2.8652447983223972e-05,0.02141316875,1.577607555642071e-05,,,22.397149085998535,False,False,False,False,True,True,0.7873694964974977,antithetic,1.0,10000,2.0,,-1.0,,,,,0.7873408440495144,3.956176430149949e-05,0.005044715829633382,antithetic pair,0.433,30.323691166735223,30.323691166735223,30.323691166735223,30.32369116673522,7.717124016338871,1.9292810040847177
188.10805234461887,47.02701308615472,11.75675327153868,1.8810805234461887,1.0,1.0,150486.4418756951,37621.610468923776,9405.402617230944,1504.864418756951,800.0,800.0,8.527635433419611e-05,0.02146748125,2.9152308984812066e-05,0.8950023694709345,0.9826997670255913,31.78213882446289,False,False,False,False,True,True,0.7874261204038486,cv,1.0,20000,2.0,,-1.0,,,,,0.7873408440495144,3.956176430149949e-05,0.006857624449191915,path (+ linear companion),0.433,16.40998122122045,16.40998122122045,16.40998122122045,16.40998122122045,7.717124016338871,1.9292810040847177
172.56735350296617,128.0,128.0,128.0,128.0,128.0,69026.94140118647,51200.0,51200.0,51200.0,51200.0,51200.0,8.067544086731715e-05,0.02153525390625,6.526929399912351e-05,,,519.7105071544647,False,True,True,True,True,True,0.7874215194903817,qmc,128.0,40,1.0,0.265,-1.17321943193282,-1.3616307559785523,-0.9790248009252633,5,0.9766990599433623,0.7873408440495144,3.956176430149949e-05,nan,Sobol point,0.433,35.775591893544224,12.058006275529488,3.014501568882372,0.4823202510211794,0.12058006275529486,0.030145015688823714
