# git_sha=116cdad5795775cff210d379367c29d1a476413c-dirty
# timestamp_utc=2026-07-24T08:03:45.363758+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"T": 20.0, "alpha": 0.1, "arms": ["mc", "antithetic", "cv", "qmc"], "base_dt": 0.05, "beta": 0.5, "budgets": [128, 256, 512, 1024, 2048], "cv_pilot": 512, "estimand": "terminal mean_i C_i(T)", "lam": 0.3, "n_nodes": 200, "n_steps": 400, "p_er": 0.05025125628140704, "quick": false, "ref_samples": 20000, "rel_eps": [0.02, 0.01, 0.005], "reps": 40, "seed": 0, "sigmas": [0.1, 0.433], "topology": "er"}
sigma,method,N,rep,estimate,paths_charged,work_units,ref_mean,abs_err
0.1,mc,20000,0,0.7497371410822793,20000.0,8000000.0,0.7497294702606984,7.670821580929577e-06
0.1,antithetic,10000,0,0.7497294753643806,20000.0,8000000.0,0.7497294702606984,5.1036822545924565e-09
0.1,cv,20000,0,0.7497294698765338,40000.0,16000000.0,0.7497294702606984,3.841645890290124e-10
0.1,qmc,128,0,0.749711241646076,128,51200,0.7497294702606984,1.8228614622306516e-05
0.1,qmc,128,1,0.7497497048160472,128,51200,0.7497294702606984,2.023455534883034e-05
0.1,qmc,128,2,0.7497057443313782,128,51200,0.7497294702606984,2.372592932020634e-05
0.1,qmc,128,3,0.7497277638325356,128,51200,0.7497294702606984,1.7064281627732214e-06
0.1,qmc,128,4,0.7496613857686839,128,51200,0.7497294702606984,6.808449201445299e-05
0.1,qmc,128,5,0.749740947044299,128,51200,0.7497294702606984,1.1476783600694596e-05
0.1,qmc,128,6,0.7496822282443086,128,51200,0.7497294702606984,4.7242016389725805e-05
0.1,qmc,128,7,0.7497338775701285,128,51200,0.7497294702606984,4.407309430187745e-06
0.1,qmc,128,8,0.7497105339167192,128,51200,0.7497294702606984,1.8936343979203407e-05
0.1,qmc,128,9,0.7497746451639711,128,51200,0.7497294702606984,4.517490327271556e-05
0.1,qmc,128,10,0.7497444375704062,128,51200,0.7497294702606984,1.496730970784732e-05
0.1,qmc,128,11,0.749710681818509,128,51200,0.7497294702606984,1.878844218938802e-05
0.1,qmc,128,12,0.7497152439525281,128,51200,0.7497294702606984,1.422630817027315e-05
0.1,qmc,128,13,0.7497796903659444,128,51200,0.7497294702606984,5.022010524602383e-05
0.1,qmc,128,14,0.7497026972397947,128,51200,0.7497294702606984,2.677302090370315e-05
0.1,qmc,128,15,0.7497333125899046,128,51200,0.7497294702606984,3.842329206249495e-06
0.1,qmc,128,16,0.7496502775388364,128,51200,0.7497294702606984,7.91927218619648e-05
0.1,qmc,128,17,0.7497217916637915,128,51200,0.7497294702606984,7.67859690686823e-06
0.1,qmc,128,18,0.7497366124834605,128,51200,0.7497294702606984,7.1422227621020795e-06
0.1,qmc,128,19,0.7497013323818675,128,51200,0.7497294702606984,2.813787883082508e-05
0.1,qmc,128,20,0.7496716765561625,128,51200,0.7497294702606984,5.779370453584676e-05
0.1,qmc,128,21,0.7497651580231623,128,51200,0.7497294702606984,3.5687762463987305e-05
0.1,qmc,128,22,0.7496804749854016,128,51200,0.7497294702606984,4.899527529678149e-05
0.1,qmc,128,23,0.7497399746238376,128,51200,0.7497294702606984,1.0504363139207662e-05
0.1,qmc,128,24,0.7497757450517781,128,51200,0.7497294702606984,4.627479107977006e-05
0.1,qmc,128,25,0.7497547484057514,128,51200,0.7497294702606984,2.52781450530426e-05
0.1,qmc,128,26,0.7497921446621458,128,51200,0.7497294702606984,6.267440144747116e-05
0.1,qmc,128,27,0.7497268766801168,128,51200,0.7497294702606984,2.593580581522481e-06
0.1,qmc,128,28,0.7497229557794997,128,51200,0.7497294702606984,6.514481198705013e-06
0.1,qmc,128,29,0.7497000288511648,128,51200,0.7497294702606984,2.9441409533537133e-05
0.1,qmc,128,30,0.7497183577244116,128,51200,0.7497294702606984,1.1112536286717045e-05
0.1,qmc,128,31,0.7497394238570301,128,51200,0.7497294702606984,9.953596331713221e-06
0.1,qmc,128,32,0.7497435111732453,128,51200,0.7497294702606984,1.404091254697537e-05
0.1,qmc,128,33,0.7497502009013658,128,51200,0.7497294702606984,2.0730640667432354e-05
0.1,qmc,128,34,0.7497459703660494,128,51200,0.7497294702606984,1.6500105351036076e-05
0.1,qmc,128,35,0.749736386585223,128,51200,0.7497294702606984,6.91632452465285e-06
0.1,qmc,128,36,0.749662569722173,128,51200,0.7497294702606984,6.69005385253163e-05
0.1,qmc,128,37,0.7497452067710182,128,51200,0.7497294702606984,1.5736510319830366e-05
0.1,qmc,128,38,0.7497583457540146,128,51200,0.7497294702606984,2.887549331620498e-05
0.1,qmc,128,39,0.7497867891785739,128,51200,0.7497294702606984,5.731891787552623e-05
0.1,qmc,256,0,0.7497130097768416,256,102400,0.7497294702606984,1.646048385672838e-05
0.1,qmc,256,1,0.7497119599375283,256,102400,0.7497294702606984,1.751032317010015e-05
0.1,qmc,256,2,0.749743797187149,256,102400,0.7497294702606984,1.432692645064737e-05
0.1,qmc,256,3,0.7497451809219274,256,102400,0.7497294702606984,1.5710661229073608e-05
0.1,qmc,256,4,0.7497363795988006,256,102400,0.7497294702606984,6.909338102212281e-06
0.1,qmc,256,5,0.7497067112004114,256,102400,0.7497294702606984,2.2759060286925425e-05
0.1,qmc,256,6,0.7497163546779521,256,102400,0.7497294702606984,1.3115582746303645e-05
0.1,qmc,256,7,0.7497391272225304,256,102400,0.7497294702606984,9.656961832082978e-06
0.1,qmc,256,8,0.7497207369042184,256,102400,0.7497294702606984,8.73335647999518e-06
0.1,qmc,256,9,0.7497161975059214,256,102400,0.7497294702606984,1.3272754776916251e-05
0.1,qmc,256,10,0.749737088192377,256,102400,0.7497294702606984,7.617931678693957e-06
0.1,qmc,256,11,0.7497208760556391,256,102400,0.7497294702606984,8.594205059275772e-06
0.1,qmc,256,12,0.7497329465266427,256,102400,0.7497294702606984,3.476265944324375e-06
0.1,qmc,256,13,0.7497436447408019,256,102400,0.7497294702606984,1.4174480103545939e-05
0.1,qmc,256,14,0.7497392360647346,256,102400,0.7497294702606984,9.765804036221404e-06
0.1,qmc,256,15,0.7497355725147035,256,102400,0.7497294702606984,6.102254005102559e-06
0.1,qmc,256,16,0.7497160876938295,256,102400,0.7497294702606984,1.3382566868891388e-05
0.1,qmc,256,17,0.7496759437148437,256,102400,0.7497294702606984,5.352654585466521e-05
