# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:29:32.643561+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": false, "threads": 6, "topologies": ["er", "ba", "ws", "rr", "caida"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
C_l,V_l,dt,level,mean_Y,seed,topology,traffic
300.0,2.7516387247620848e-06,0.1,2,0.008740686496057144,2,ba,mmpp2
600.0,1.2910893244838416e-06,0.05,3,0.006262838711629385,2,ba,mmpp2
50.0,0.0008847299685036088,0.4,0,0.7777994185479209,0,ba,pareto
150.0,6.7015615313804785e-06,0.2,1,0.012387571330652967,0,ba,pareto
300.0,2.874753087493892e-06,0.1,2,0.008758156647208349,0,ba,pareto
600.0,1.3421414430575888e-06,0.05,3,0.006271425724936656,0,ba,pareto
50.0,0.0009147549770593273,0.4,0,0.7850678734984733,1,ba,pareto
150.0,6.783991085840044e-06,0.2,1,0.012192887827894875,1,ba,pareto
300.0,2.7962774760326775e-06,0.1,2,0.008537155371267353,1,ba,pareto
600.0,1.2191243922180524e-06,0.05,3,0.006112422493018748,1,ba,pareto
50.0,0.0008878525329054415,0.4,0,0.7910897237910484,2,ba,pareto
150.0,6.697645416407691e-06,0.2,1,0.011970096920518838,2,ba,pareto
300.0,2.788300758478761e-06,0.1,2,0.00843199524564122,2,ba,pareto
600.0,1.2793144420509362e-06,0.05,3,0.006049840594284727,2,ba,pareto
50.0,0.0009788045045700593,0.4,0,0.9549573822864026,0,ba,degree
150.0,5.370885451639543e-06,0.2,1,0.007316066440654454,0,ba,degree
300.0,1.9854321686368285e-06,0.1,2,0.005198508822523842,0,ba,degree
600.0,8.440818783551075e-07,0.05,3,0.003764146085383875,0,ba,degree
50.0,0.0010033603620892638,0.4,0,0.9239486014876763,1,ba,degree
150.0,5.670933776669094e-06,0.2,1,0.007988455743867565,1,ba,degree
300.0,2.004187363886377e-06,0.1,2,0.0055753514536325535,1,ba,degree
600.0,8.86556011119675e-07,0.05,3,0.004038075076731497,1,ba,degree
50.0,0.0009713064071990201,0.4,0,0.9137844878111935,2,ba,degree
150.0,5.720807535364678e-06,0.2,1,0.00809936423122134,2,ba,degree
300.0,2.0719509684250333e-06,0.1,2,0.005750085319170754,2,ba,degree
600.0,8.929737372468565e-07,0.05,3,0.004117069910653868,2,ba,degree
50.0,0.0009558540263779623,0.4,0,0.7689959997500891,0,ws,uniform
150.0,5.412829210932521e-06,0.2,1,0.008215353689773433,0,ws,uniform
300.0,2.087365307041564e-06,0.1,2,0.0059968092115601735,0,ws,uniform
600.0,9.503524398481533e-07,0.05,3,0.00438797772205009,0,ws,uniform
50.0,0.0009715170009097619,0.4,0,0.7684571647486138,1,ws,uniform
150.0,5.7383111491259244e-06,0.2,1,0.008356402778206361,1,ws,uniform
300.0,2.1963586112530326e-06,0.1,2,0.005973154507050165,1,ws,uniform
600.0,9.623608114293332e-07,0.05,3,0.004383519135417279,1,ws,uniform
50.0,0.000953168863520153,0.4,0,0.770233464078774,2,ws,uniform
150.0,5.8571104509935e-06,0.2,1,0.008282853163060206,2,ws,uniform
300.0,2.160260595276104e-06,0.1,2,0.006042405078451166,2,ws,uniform
600.0,9.70954386211149e-07,0.05,3,0.0043649490622311524,2,ws,uniform
50.0,0.0008728774732965928,0.4,0,0.7948763979692615,0,ws,mmpp2
150.0,6.595933539017278e-06,0.2,1,0.012491511476197122,0,ws,mmpp2
300.0,2.69828806470355e-06,0.1,2,0.0087869807240508,0,ws,mmpp2
600.0,1.3694922447623487e-06,0.05,3,0.006323793513173106,0,ws,mmpp2
50.0,0.0008740454050727061,0.4,0,0.7932279358290716,1,ws,mmpp2
150.0,6.6209893546402815e-06,0.2,1,0.01269203378143164,1,ws,mmpp2
300.0,2.787064508261493e-06,0.1,2,0.008856510627715761,1,ws,mmpp2
600.0,1.187694919533175e-06,0.05,3,0.00632309653929072,1,ws,mmpp2
50.0,0.0008667691895741006,0.4,0,0.7947724745196463,2,ws,mmpp2
150.0,6.711247346604708e-06,0.2,1,0.012540238131857763,2,ws,mmpp2
300.0,2.7103016509275506e-06,0.1,2,0.00879615157173203,2,ws,mmpp2
600.0,1.2671059835748162e-06,0.05,3,0.006299890040942373,2,ws,mmpp2
50.0,0.0008848889276953334,0.4,0,0.7920592383118082,0,ws,pareto
150.0,6.274868710175861e-06,0.2,1,0.011830017244652578,0,ws,pareto
300.0,2.676321598761527e-06,0.1,2,0.008363476815764865,0,ws,pareto
600.0,1.220208557055468e-06,0.05,3,0.005995324405646898,0,ws,pareto
50.0,0.0008996083153632954,0.4,0,0.7904992552844137,1,ws,pareto
150.0,6.5366060107842625e-06,0.2,1,0.012004006699534003,1,ws,pareto
300.0,2.68749201550022e-06,0.1,2,0.008411585655882198,1,ws,pareto
600.0,1.1725402356192363e-06,0.05,3,0.006029584184359804,1,ws,pareto
50.0,0.0008803751083927212,0.4,0,0.7917913451642817,2,ws,pareto
150.0,6.688594310882624e-06,0.2,1,0.011977252580392991,2,ws,pareto
300.0,2.6906824394338086e-06,0.1,2,0.008435810631123192,2,ws,pareto
600.0,1.2561546085858597e-06,0.05,3,0.0060638226887962735,2,ws,pareto
50.0,0.0009541534932163333,0.4,0,0.7709747813968161,0,ws,degree
150.0,5.413517209424763e-06,0.2,1,0.008252486463899094,0,ws,degree
300.0,2.074433593096609e-06,0.1,2,0.006016399636779541,0,ws,degree
600.0,9.62075669587419e-07,0.05,3,0.004395749325244172,0,ws,degree
50.0,0.0009689590657661477,0.4,0,0.7704056195397532,1,ws,degree
150.0,5.706114142095606e-06,0.2,1,0.008390311807657456,1,ws,degree
300.0,2.1662884004951223e-06,0.1,2,0.0059980484537259324,1,ws,degree
600.0,9.477998000642021e-07,0.05,3,0.004390697279600994,1,ws,degree
50.0,0.000950547367863747,0.4,0,0.7722606926885135,2,ws,degree
150.0,5.81318530787733e-06,0.2,1,0.008313128116786493,2,ws,degree
300.0,2.1684743124212884e-06,0.1,2,0.006071224162514327,2,ws,degree
600.0,9.939417544645455e-07,0.05,3,0.004386281239608173,2,ws,degree
50.0,0.0009547988846242532,0.4,0,0.7689998417066967,0,rr,uniform
150.0,5.369900504737996e-06,0.2,1,0.008207796575484259,0,rr,uniform
300.0,2.0770872417430327e-06,0.1,2,0.005997979149812069,0,rr,uniform
600.0,9.609707792091451e-07,0.05,3,0.00438607961769102,0,rr,uniform
50.0,0.0009722637944547386,0.4,0,0.7684276651388381,1,rr,uniform
150.0,5.755903827003675e-06,0.2,1,0.008359060158822687,1,rr,uniform
300.0,2.195694851451932e-06,0.1,2,0.005972557779097902,1,rr,uniform
600.0,9.63003885589526e-07,0.05,3,0.004382578918698282,1,rr,uniform
50.0,0.0009515874232089652,0.4,0,0.7702192181935982,2,rr,uniform
150.0,5.853927272174629e-06,0.2,1,0.008290490877211124,2,rr,uniform
300.0,2.1743990971175956e-06,0.1,2,0.00604222795542965,2,rr,uniform
600.0,9.71406889147495e-07,0.05,3,0.004367492618009009,2,rr,uniform
50.0,0.000871110894090524,0.4,0,0.7932479290152199,0,rr,mmpp2
150.0,6.640157939570235e-06,0.2,1,0.012502307852654439,0,rr,mmpp2
300.0,2.714595477217168e-06,0.1,2,0.008792351557095594,0,rr,mmpp2
600.0,1.3483877864787517e-06,0.05,3,0.006329225586470789,0,rr,mmpp2
