# git_sha=91e1997789dfc52e821a1386d39e280de7209df3-dirty
# timestamp_utc=2026-07-24T08:29:32.643561+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"L_max": 3, "T": 20.0, "alpha": 0.1, "base_dt": 0.4, "beta": 0.5, "chunk": 250, "cross_hi": 0.05, "cross_lo": 1e-05, "lam": 0.3, "level_samples": 2000, "n_nodes": 200, "out": null, "pilot_samples": 50, "quick": false, "refinement": 2, "rel_eps": [0.02, 0.01, 0.005], "rho_high": 0.99, "rho_low": 0.3, "seeds": [0, 1, 2], "sigma": 0.433, "stress": false, "threads": 6, "topologies": ["er", "ba", "ws", "rr", "caida"], "traffic": ["uniform", "mmpp2", "pareto", "degree"], "var_samples": 4000}
W_MC_eps_0.005,W_MC_eps_0.01,W_MC_eps_0.02,W_MLMC_eps_0.005,W_MLMC_eps_0.01,W_MLMC_eps_0.02,antithetic_work_ratio_vs_mc,beta_var,crossover_rel_eps,cv_coefficient,cv_work_ratio_vs_mc,elapsed_s,lemma2_positive_variance_holds,min_V_l,n_nodes,ratio_eps_0.005,ratio_eps_0.01,ratio_eps_0.02,ref_mean,reflection_bind_fraction,seed,topology,traffic,var_antithetic_per_pair,var_cv_per_path,var_mc_per_path
49673.637072784186,20000.0,20000.0,60854.12383652744,55000.0,55000.0,31.430519809078632,1.2496499132265668,0.004359794641269909,0.895022737223973,17.352576740864723,14.485682964324951,True,9.561720563702674e-07,200,0.81627396700711,0.36363636363636365,0.36363636363636365,0.7871457583609529,0.02148295,0,er,uniform,1.530046893416621e-05,2.771356087946272e-05,0.0009618033838470066
50175.82425055146,20000.0,20000.0,61045.72887896516,55000.0,55000.0,30.5793357461062,1.2956251869323747,0.004359794641269909,0.8992465682481318,16.995262705453072,14.491297006607056,True,9.681218440660507e-07,200,0.821938326758857,0.36363636363636365,0.36363636363636365,0.7872171409975656,0.02152555,1,er,uniform,1.5888232193343018e-05,2.8587471407337525e-05,0.0009717031733046589
49847.31738883486,20000.0,20000.0,60914.194632445346,55000.0,55000.0,31.116451790294064,1.285391473382238,0.004359794641269909,0.9010886888026881,15.950616810561312,14.441826105117798,True,9.89066692720931e-07,200,0.8183202238757693,0.36363636363636365,0.36363636363636365,0.7873475692948889,0.02160445,2,er,uniform,1.5516891759867137e-05,3.0270341273663002e-05,0.000965661228762234
41068.387276364716,20000.0,20000.0,59849.493298393165,55000.0,55000.0,16.383155823014945,1.141375418301398,0.0040021232150403065,0.8348690775691663,8.231484674765568,14.468465089797974,True,1.3446881065476268e-06,200,0.6861944022083696,0.36363636363636365,0.36363636363636365,0.8231953545837878,0.0314273,0,er,mmpp2,2.6542139952962726e-05,5.282692392767447e-05,0.0008696880294513178
41237.07198483581,20000.0,20000.0,59834.483400015684,55000.0,55000.0,15.920487300387931,1.2367472349544644,0.0040021232150403065,0.8388095741659708,8.112872590340016,14.416059970855713,True,1.1964204125629724e-06,200,0.6891857277207645,0.36363636363636365,0.36363636363636365,0.8223317478553326,0.03208635,1,er,mmpp2,2.7368160311715694e-05,5.3706556318467906e-05,0.0008714288973553014
41168.20924520057,20000.0,20000.0,59780.61321740733,55000.0,55000.0,17.36464727474094,1.2061901169576628,0.0040021232150403065,0.8438761595477361,8.191551781212903,14.436901807785034,True,1.2581022220221888e-06,200,0.6886548502853586,0.36363636363636365,0.36363636363636365,0.8249317851209029,0.03137125,2,er,mmpp2,2.5208796441897204e-05,5.3438209282670735e-05,0.0008754837168685787
42335.45088532271,20000.0,20000.0,60027.77863436171,55000.0,55000.0,16.92417222938697,1.1633704710914554,0.0040021232150403065,0.8445230508388525,8.321372838792229,14.516098976135254,True,1.2567333666537467e-06,200,0.7052643267576891,0.36363636363636365,0.36363636363636365,0.8128426590623823,0.030753,0,er,pareto,2.5824371161736327e-05,5.252211548789037e-05,0.0008741122105136792
42689.39690365414,20000.0,20000.0,60131.020308483014,55000.0,55000.0,16.87155844481913,1.2325879600943,0.0040021232150403065,0.8429120802320863,8.856280475897222,14.539885759353638,True,1.196394177057984e-06,200,0.7099396731445734,0.36363636363636365,0.36363636363636365,0.8140292353447753,0.03080815,1,er,pareto,2.619780165801795e-05,4.990783015532838e-05,0.0008839954835980587
42439.179741347594,20000.0,20000.0,59996.155231571254,55000.0,55000.0,18.27305180352437,1.2117460703927954,0.0040021232150403065,0.8457041971857229,8.309086431327572,14.407002925872803,True,1.2540534163182203e-06,200,0.7073649899321415,0.36363636363636365,0.36363636363636365,0.8146374796767811,0.0310056,2,er,pareto,2.408267341208558e-05,5.296177172585847e-05,0.0008801278776527976
47417.55318485074,20000.0,20000.0,60430.190475658295,55000.0,55000.0,29.55894302959877,1.2140881079332901,0.004177132431062562,0.8898978154464747,14.955686353865186,14.3941969871521,True,9.957530437510483e-07,200,0.7846666179870947,0.36363636363636365,0.36363636363636365,0.8042106354932603,0.023336,0,er,degree,1.6211003144369586e-05,3.2039995160317504e-05,0.0009583602367941342
